欢度春节,#genre#
重庆卫视,http://183.255.10.92:6610/200000001898/460000089800010053/1.m3u8?IASHttpSessionId=ACE
重庆卫视,http://183.255.10.92:6610/200000001898/460000089800010218/1.m3u8?IASHttpSessionId=ACE
东方卫视,http://183.255.10.72:6610/200000001898/460000089800010054/1.m3u8?IASHttpSessionId=ACE
东方卫视,http://183.255.10.86:6610/200000001898/460000089800010067/1.m3u8?IASHttpSessionId=ACE
东方卫视,http://183.255.10.92:6610/200000001898/460000089800010219/1.m3u8?IASHttpSessionId=ACE
广东卫视,http://183.255.10.76:6610/200000001898/460000089800010055/1.m3u8?IASHttpSessionId=ACE
广东卫视,http://183.255.10.92:6610/200000001898/460000089800010221/1.m3u8?IASHttpSessionId=ACE
黑龙江卫视,http://183.255.10.92:6610/200000001898/460000089800010056/1.m3u8?IASHttpSessionId=ACE
黑龙江卫视,http://183.255.10.92:6610/200000001898/460000089800010222/1.m3u8?IASHttpSessionId=ACE
湖北卫视,http://183.255.10.70:6610/200000001898/460000089800010057/1.m3u8?IASHttpSessionId=ACE
湖北卫视,http://183.255.10.92:6610/200000001898/460000089800010223/1.m3u8?IASHttpSessionId=ACE
湖南卫视,http://183.255.10.86:6610/200000001898/460000089800010058/1.m3u8?IASHttpSessionId=ACE
湖南卫视,http://183.255.10.123:6610/200000001898/460000089800010224/1.m3u8?IASHttpSessionId=ACE
江苏卫视,http://183.255.10.74:6610/200000001898/460000089800010059/1.m3u8?IASHttpSessionId=ACE
江苏卫视,http://183.255.10.123:6610/200000001898/460000089800010225/1.m3u8?IASHttpSessionId=ACE
江西卫视,http://183.255.10.70:6610/200000001898/460000089800010060/1.m3u8?IASHttpSessionId=ACE
辽宁卫视,http://183.255.10.92:6610/200000001898/460000089800010061/1.m3u8?IASHttpSessionId=ACE
山东卫视,http://183.255.10.72:6610/200000001898/460000089800010066/1.m3u8?IASHttpSessionId=ACE
深圳卫视,http://183.255.10.82:6610/200000001898/460000089800010068/1.m3u8?IASHttpSessionId=ACE
天津卫视,http://183.255.10.84:6610/200000001898/460000089800010069/1.m3u8?IASHttpSessionId=ACE
浙江卫视,http://183.255.10.74:6610/200000001898/460000089800010070/1.m3u8?IASHttpSessionId=ACE
河南卫视,http://183.255.10.76:6610/200000001898/460000089800010071/1.m3u8?IASHttpSessionId=ACE
吉林卫视,http://183.255.10.72:6610/200000001898/460000089800010075/1.m3u8?IASHttpSessionId=ACE
海南卫视,http://183.255.10.78:6610/200000001898/460000089800010083/1.m3u8?IASHttpSessionId=ACE
东南卫视,http://183.255.10.80:6610/200000001898/460000089800010096/1.m3u8?IASHttpSessionId=ACE
甘肃卫视,http://183.255.10.76:6610/200000001898/460000089800010098/1.m3u8?IASHttpSessionId=ACE
广西卫视,http://183.255.10.74:6610/200000001898/460000089800010099/1.m3u8?IASHttpSessionId=ACE
贵州卫视,http://183.255.10.92:6610/200000001898/460000089800010100/1.m3u8?IASHttpSessionId=ACE
河北卫视,http://183.255.10.70:6610/200000001898/460000089800010101/1.m3u8?IASHttpSessionId=ACE
大湾区卫视,http://183.255.10.86:6610/200000001898/460000089800010108/1.m3u8?IASHttpSessionId=ACE
内蒙古卫视,http://183.255.10.86:6610/200000001898/460000089800010109/1.m3u8?IASHttpSessionId=ACE
宁夏卫视,http://183.255.10.84:6610/200000001898/460000089800010110/1.m3u8?IASHttpSessionId=ACE
青海卫视,http://183.255.10.86:6610/200000001898/460000089800010111/1.m3u8?IASHttpSessionId=ACE
山东教育卫视,http://183.255.10.84:6610/200000001898/460000089800010112/1.m3u8?IASHttpSessionId=ACE
陕西卫视,http://183.255.10.82:6610/200000001898/460000089800010113/1.m3u8?IASHttpSessionId=ACE
山西卫视,http://183.255.10.92:6610/200000001898/460000089800010114/1.m3u8?IASHttpSessionId=ACE
四川卫视,http://183.255.10.70:6610/200000001898/460000089800010115/1.m3u8?IASHttpSessionId=ACE
新疆卫视,http://183.255.10.80:6610/200000001898/460000089800010116/1.m3u8?IASHttpSessionId=ACE
云南卫视,http://183.255.10.80:6610/200000001898/460000089800010119/1.m3u8?IASHttpSessionId=ACE
西藏藏语,http://183.255.10.80:6610/200000001898/460000089800010123/1.m3u8?IASHttpSessionId=ACE
广东珠江,http://183.255.10.76:6610/200000001898/460000089800010091/1.m3u8?IASHttpSessionId=ACE
嘉佳卡通,http://183.255.10.74:6610/200000001898/460000089800010102/1.m3u8?IASHttpSessionId=ACE
金鹰纪实,http://183.255.10.84:6610/200000001898/460000089800010106/1.m3u8?IASHttpSessionId=ACE
金鹰卡通,http://183.255.10.72:6610/200000001898/460000089800010107/1.m3u8?IASHttpSessionId=ACE
哈哈炫动,http://183.255.10.76:6610/200000001898/460000089800010117/1.m3u8?IASHttpSessionId=ACE
优漫卡通,http://183.255.10.78:6610/200000001898/460000089800010118/1.m3u8?IASHttpSessionId=ACE
黑莓电影,http://183.255.10.70:6610/200000001898/460000089800010073/1.m3u8?IASHttpSessionId=ACE
黑莓动画,http://183.255.10.80:6610/200000001898/460000089800010002/1.m3u8?IASHttpSessionId=ACE
哒啵赛事,http://183.255.10.70:6610/200000001898/460000089800010120/1.m3u8?IASHttpSessionId=ACE
爱情喜剧,http://183.255.10.72:6610/200000001898/460000089800010000/1.m3u8?IASHttpSessionId=ACE
动作电影,http://183.255.10.78:6610/200000001898/460000089800010003/1.m3u8?IASHttpSessionId=ACE
古装剧场,http://183.255.10.82:6610/200000001898/460000089800010004/1.m3u8?IASHttpSessionId=ACE
潮妈辣婆,http://183.255.10.84:6610/200000001898/460000089800010005/1.m3u8?IASHttpSessionId=ACE
东北热剧,http://183.255.10.78:6610/200000001898/460000089800010021/1.m3u8?IASHttpSessionId=ACE
欢乐剧场,http://183.255.10.78:6610/200000001898/460000089800010025/1.m3u8?IASHttpSessionId=ACE
炫舞未来,http://183.255.10.76:6610/200000001898/460000089800010039/1.m3u8?IASHttpSessionId=ACE
超级综艺,http://183.255.10.76:6610/200000001898/460000089800010062/1.m3u8?IASHttpSessionId=ACE
超级体育,http://183.255.10.74:6610/200000001898/460000089800010063/1.m3u8?IASHttpSessionId=ACE
超级电影,http://183.255.10.84:6610/200000001898/460000089800010064/1.m3u8?IASHttpSessionId=ACE
超级电视剧,http://183.255.10.82:6610/200000001898/460000089800010065/1.m3u8?IASHttpSessionId=ACE
精品大剧,http://183.255.10.92:6610/200000001898/460000089800010072/1.m3u8?IASHttpSessionId=ACE
家庭剧场,http://183.255.10.82:6610/200000001898/460000089800010074/1.m3u8?IASHttpSessionId=ACE
精品纪录,http://183.255.10.86:6610/200000001898/460000089800010076/1.m3u8?IASHttpSessionId=ACE
惊悚悬疑,http://183.255.10.78:6610/200000001898/460000089800010077/1.m3u8?IASHttpSessionId=ACE
军旅剧场,http://183.255.10.72:6610/200000001898/460000089800010079/1.m3u8?IASHttpSessionId=ACE
金牌综艺,http://183.255.10.70:6610/200000001898/460000089800010086/1.m3u8?IASHttpSessionId=ACE
中国功夫,http://183.255.10.92:6610/200000001898/460000089800010087/1.m3u8?IASHttpSessionId=ACE
英雄联盟,http://183.255.10.74:6610/200000001898/460000089800010090/1.m3u8?IASHttpSessionId=ACE
明星大片,http://183.255.10.92:6610/200000001898/460000089800010121/1.m3u8?IASHttpSessionId=ACE
武博世界,http://183.255.10.70:6610/200000001898/460000089800010135/1.m3u8?IASHttpSessionId=ACE
纪实频道,http://183.255.10.72:6610/200000001898/460000089800010080/1.m3u8?IASHttpSessionId=ACE
风尚购物,http://183.255.10.76:6610/200000001898/460000089800010084/1.m3u8?IASHttpSessionId=ACE
乡村振兴,http://183.255.10.80:6610/200000001898/460000089800010085/1.m3u8?IASHttpSessionId=ACE
精品萌宠,http://183.255.10.76:6610/200000001898/460000089800010146/1.m3u8?IASHttpSessionId=ACE
睛彩青少,http://183.255.10.78:6610/200000001898/460000089800010147/1.m3u8?IASHttpSessionId=ACE
睛彩广场舞,http://183.255.10.92:6610/200000001898/460000089800010233/1.m3u8?IASHttpSessionId=ACE
优购物,http://183.255.10.82:6610/200000001898/460000089800010088/1.m3u8?IASHttpSessionId=ACE
优购物,http://183.255.10.80:6610/200000001898/460000089800010082/1.m3u8?IASHttpSessionId=ACE
家有购物,http://183.255.10.84:6610/200000001898/460000089800010089/1.m3u8?IASHttpSessionId=ACE
央广购物,http://183.255.10.78:6610/200000001898/460000089800010097/1.m3u8?IASHttpSessionId=ACE
央广购物,http://183.255.10.78:6610/200000001898/460000089800010129/1.m3u8?IASHttpSessionId=ACE
优购物,http://183.255.10.80:6610/200000001898/460000089800010130/1.m3u8?IASHttpSessionId=ACE
快乐购,http://183.255.10.70:6610/200000001898/460000089800010131/1.m3u8?IASHttpSessionId=ACE
央广购物,http://183.255.10.86:6610/200000001898/460000089800010132/1.m3u8?IASHttpSessionId=ACE
优购物,http://183.255.10.86:6610/200000001898/460000089800010133/1.m3u8?IASHttpSessionId=ACE


//======================================================


银河极速,#genre#
CCTV1,http://hegd-livod.tx-cdn.gitv.tv/gitv_live/G_CCTV-1/G_CCTV-1.m3u8
CCTV1,http://hegd-livod.tx-cdn.gitv.tv/gitv_live/G_CCTV-1-HQ/G_CCTV-1-HQ.m3u8
CCTV2,http://hegd-livod.tx-cdn.gitv.tv/gitv_live/G_CCTV-2-HQ/G_CCTV-2-HQ.m3u8
CCTV3,http://hegd-livod.tx-cdn.gitv.tv/gitv_live/G_CCTV-3-HQ/G_CCTV-3-HQ.m3u8
CCTV4,http://hegd-livod.tx-cdn.gitv.tv/gitv_live/G_CCTV-4-HQ/G_CCTV-4-HQ.m3u8
CCTV5,http://hegd-livod.tx-cdn.gitv.tv/gitv_live/G_CCTV-5-HQ/G_CCTV-5-HQ.m3u8
CCTV6,http://hegd-livod.tx-cdn.gitv.tv/gitv_live/G_CCTV-6-HQ/G_CCTV-6-HQ.m3u8
CCTV7,http://hegd-livod.tx-cdn.gitv.tv/gitv_live/G_CCTV-7-HQ/G_CCTV-7-HQ.m3u8
CCTV8,http://hegd-livod.tx-cdn.gitv.tv/gitv_live/G_CCTV-8-HQ/G_CCTV-8-HQ.m3u8
CCTV9,http://hegd-livod.tx-cdn.gitv.tv/gitv_live/G_CCTV-9-HQ/G_CCTV-9-HQ.m3u8
CCTV10,http://hegd-livod.tx-cdn.gitv.tv/gitv_live/G_CCTV-10-HQ/G_CCTV-10-HQ.m3u8
CCTV11,http://hegd-livod.tx-cdn.gitv.tv/gitv_live/G_CCTV-11-HQ/G_CCTV-11-HQ.m3u8
CCTV12,http://hegd-livod.tx-cdn.gitv.tv/gitv_live/G_CCTV-12-HQ/G_CCTV-12-HQ.m3u8
CCTV13,http://hegd-livod.tx-cdn.gitv.tv/gitv_live/G_CCTV-13-HQ/G_CCTV-13-HQ.m3u8
CCTV14,http://hegd-livod.tx-cdn.gitv.tv/gitv_live/G_CCTV-14-HQ/G_CCTV-14-HQ.m3u8
CCTV15,http://hegd-livod.tx-cdn.gitv.tv/gitv_live/G_CCTV-15-HQ/G_CCTV-15-HQ.m3u8
CCTV16,http://hegd-livod.tx-cdn.gitv.tv/gitv_live/G_CCTV-16-HQ/G_CCTV-16-HQ.m3u8
CCTV17,http://hegd-livod.tx-cdn.gitv.tv/gitv_live/G_CCTV-17-HQ/G_CCTV-17-HQ.m3u8
CCTV5+,http://hegd-livod.tx-cdn.gitv.tv/gitv_live/G_CCTV-5PLUS-HQ/G_CCTV-5PLUS-HQ.m3u8
湖南卫视,http://hegd-livod.tx-cdn.gitv.tv/gitv_live/G_HUNAN-HQ/G_HUNAN-HQ.m3u8
东方卫视,http://hegd-livod.tx-cdn.gitv.tv/gitv_live/G_DONGFANG-HQ/G_DONGFANG-HQ.m3u8
江苏卫视,http://hegd-livod.tx-cdn.gitv.tv/gitv_live/G_JIANGSU-HQ/G_JIANGSU-HQ.m3u8
广东卫视,http://hegd-livod.tx-cdn.gitv.tv/gitv_live/G_GUANGDONG-HQ/G_GUANGDONG-HQ.m3u8
浙江卫视,http://hegd-livod.tx-cdn.gitv.tv/gitv_live/G_ZHEJIANG-HQ/G_ZHEJIANG-HQ.m3u8
北京卫视,http://hegd-livod.tx-cdn.gitv.tv/gitv_live/G_BEIJING-HQ/G_BEIJING-HQ.m3u8
深圳卫视,http://hegd-livod.tx-cdn.gitv.tv/gitv_live/G_SHENZHEN-HQ/G_SHENZHEN-HQ.m3u8
天津卫视,http://hegd-livod.tx-cdn.gitv.tv/gitv_live/G_TIANJIN-HQ/G_TIANJIN-HQ.m3u8
山东卫视,http://hegd-livod.tx-cdn.gitv.tv/gitv_live/G_SHANDONG-HQ/G_SHANDONG-HQ.m3u8
安徽卫视,http://hegd-livod.tx-cdn.gitv.tv/gitv_live/G_ANHUI-HQ/G_ANHUI-HQ.m3u8
江西卫视,http://hegd-livod.tx-cdn.gitv.tv/gitv_live/G_JIANGXI-HQ/G_JIANGXI-HQ.m3u8
黑龙江卫视,http://hegd-livod.tx-cdn.gitv.tv/gitv_live/G_HEILONGJIANG-HQ/G_HEILONGJIANG-HQ.m3u8
四川卫视,http://hegd-livod.tx-cdn.gitv.tv/gitv_live/G_SICHUAN-HQ/G_SICHUAN-HQ.m3u8
贵州卫视,http://hegd-livod.tx-cdn.gitv.tv/gitv_live/G_GUIZHOU-HQ/G_GUIZHOU-HQ.m3u8
湖北卫视,http://hegd-livod.tx-cdn.gitv.tv/gitv_live/G_HUBEI-HQ/G_HUBEI-HQ.m3u8
辽宁卫视,http://hegd-livod.tx-cdn.gitv.tv/gitv_live/G_LIAONING-HQ/G_LIAONING-HQ.m3u8
广西卫视,http://hegd-livod.tx-cdn.gitv.tv/gitv_live/G_GUANGXI-HQ/G_GUANGXI-HQ.m3u8
重庆卫视,http://hegd-livod.tx-cdn.gitv.tv/gitv_live/G_CHONGQING-HQ/G_CHONGQING-HQ.m3u8
东南卫视,http://hegd-livod.tx-cdn.gitv.tv/gitv_live/G_DONGNAN-HQ/G_DONGNAN-HQ.m3u8
吉林卫视,http://hegd-livod.tx-cdn.gitv.tv/gitv_live/G_JILIN-HQ/G_JILIN-HQ.m3u8
海南卫视,http://hegd-livod.tx-cdn.gitv.tv/gitv_live/G_HAINAN-HQ/G_HAINAN-HQ.m3u8
云南卫视,http://hegd-livod.tx-cdn.gitv.tv/gitv_live/G_YUNNAN-HQ/G_YUNNAN-HQ.m3u8
厦门卫视,http://hegd-livod.tx-cdn.gitv.tv/gitv_live/G_XIAMEN/G_XIAMEN.m3u8
河南卫视,http://hegd-livod.tx-cdn.gitv.tv/gitv_live/G_HENAN-HQ/G_HENAN-HQ.m3u8
河北卫视,http://hegd-livod.tx-cdn.gitv.tv/gitv_live/G_HEBEI-HQ/G_HEBEI-HQ.m3u8
陕西卫视,http://hegd-livod.tx-cdn.gitv.tv/gitv_live/G_SHANXI-HQ/G_SHANXI-HQ.m3u8
甘肃卫视,http://hegd-livod.tx-cdn.gitv.tv/gitv_live/G_GANSU-HQ/G_GANSU-HQ.m3u8
宁夏卫视,http://hegd-livod.tx-cdn.gitv.tv/gitv_live/G_NINGXIA/G_NINGXIA.m3u8
青海卫视,http://hegd-livod.tx-cdn.gitv.tv/gitv_live/G_QINGHAI/G_QINGHAI.m3u8
西藏卫视,http://hegd-livod.tx-cdn.gitv.tv/gitv_live/G_XIZANG/G_XIZANG.m3u8
新疆卫视,http://hegd-livod.tx-cdn.gitv.tv/gitv_live/G_XINJIANG/G_XINJIANG.m3u8
内蒙古卫视,http://hegd-livod.tx-cdn.gitv.tv/gitv_live/G_NEIMENGGU/G_NEIMENGGU.m3u8
三沙卫视,http://hegd-livod.tx-cdn.gitv.tv/gitv_live/G_SANSHA-HQ/G_SANSHA-HQ.m3u8
农林卫视,http://hegd-livod.tx-cdn.gitv.tv/gitv_live/G_NONGLIN/G_NONGLIN.m3u8
延边卫视,http://hegd-livod.tx-cdn.gitv.tv/gitv_live/G_YANBIAN/G_YANBIAN.m3u8
兵团卫视,http://hegd-livod.tx-cdn.gitv.tv/gitv_live/G_BINGTUAN/G_BINGTUAN.m3u8
山东教育卫视,http://hegd-livod.tx-cdn.gitv.tv/gitv_live/G_SDETV/G_SDETV.m3u8
康巴卫视,http://hegd-livod.tx-cdn.gitv.tv/gitv_live/G_KANGBA/G_KANGBA.m3u8
安多卫视,http://hegd-livod.tx-cdn.gitv.tv/gitv_live/G_ANDUO/G_ANDUO.m3u8
卡酷少儿,http://hegd-livod.tx-cdn.gitv.tv/gitv_live/G_KAKU/G_KAKU.m3u8
金鹰卡通,http://hegd-livod.tx-cdn.gitv.tv/gitv_live/G_JINYING/G_JINYING.m3u8
优漫卡通,http://hegd-livod.tx-cdn.gitv.tv/gitv_live/G_YOUMAN/G_YOUMAN.m3u8
哈哈炫动,http://hegd-livod.tx-cdn.gitv.tv/gitv_live/G_XUANDONG/G_XUANDONG.m3u8
嘉佳卡通,http://hegd-livod.tx-cdn.gitv.tv/gitv_live/G_JIAJIA/G_JIAJIA.m3u8
女性时尚,http://hegd-livod.tx-cdn.gitv.tv/gitv_live/G_NVXINGSS/G_NVXINGSS.m3u8
老故事,http://hegd-livod.tx-cdn.gitv.tv/gitv_live/G_LAOGUSHI/G_LAOGUSHI.m3u8
发现之旅,http://hegd-livod.tx-cdn.gitv.tv/gitv_live/G_FAXIANZL/G_FAXIANZL.m3u8
早期教育,http://hegd-livod.tx-cdn.gitv.tv/gitv_live/G_CETV-ZQJY/G_CETV-ZQJY.m3u8
家庭理财,http://hegd-livod.tx-cdn.gitv.tv/gitv_live/G_JIATINGLC/G_JIATINGLC.m3u8
中华美食,http://hegd-livod.tx-cdn.gitv.tv/gitv_live/G_ZHONGHUAMS/G_ZHONGHUAMS.m3u8
天元围棋,http://hegd-livod.tx-cdn.gitv.tv/gitv_live/G_TIANYUANWQ/G_TIANYUANWQ.m3u8
国学,http://hegd-livod.tx-cdn.gitv.tv/gitv_live/G_GUOXUE/G_GUOXUE.m3u8
北京纪实科教,http://hegd-livod.tx-cdn.gitv.tv/gitv_live/G_BEIJINGJS-HD/G_BEIJINGJS-HD.m3u8
中国教育1台,http://hegd-livod.tx-cdn.gitv.tv/gitv_live/G_CETV-1-HQ/G_CETV-1-HQ.m3u8
中国教育2台,http://hegd-livod.tx-cdn.gitv.tv/gitv_live/G_CETV-2/G_CETV-2.m3u8
中国教育3台,http://hegd-livod.tx-cdn.gitv.tv/gitv_live/G_CETV-3/G_CETV-3.m3u8
中国教育4台,http://hegd-livod.tx-cdn.gitv.tv/gitv_live/G_CETV-4/G_CETV-4.m3u8
CGTN,http://hegd-livod.tx-cdn.gitv.tv/gitv_live/G_CCTV-NEWS/G_CCTV-NEWS.m3u8
CGTN阿拉伯语,http://hegd-livod.tx-cdn.gitv.tv/gitv_live/G_CGTN_A/G_CGTN_A.m3u8
CGTN俄语,http://hegd-livod.tx-cdn.gitv.tv/gitv_live/G_CGTN-PYCCNN/G_CGTN-PYCCNN.m3u8
CGTN法语,http://hegd-livod.tx-cdn.gitv.tv/gitv_live/G_CGTN-FRANCAIS/G_CGTN-FRANCAIS.m3u8
CGTN西班牙语,http://hegd-livod.tx-cdn.gitv.tv/gitv_live/G_CGTN-ESPANOL/G_CGTN-ESPANOL.m3u8
大湾区卫视,http://hegd-livod.tx-cdn.gitv.tv/gitv_live/G_NANFANG/G_NANFANG.m3u8
纪实人文(停播),http://hegd-livod.tx-cdn.gitv.tv/gitv_live/G_SHANGHAIJS-HD/G_SHANGHAIJS-HD.m3u8

//======================================================


飞哥V6,#genre#
CCTV1,http://[2409:8087:7008:20::2]/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225804/1.m3u8
CCTV1,http://[2409:8087:7008:20::2]/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226231/1.m3u8
CCTV2,http://[2409:8087:7008:20::2]/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226195/1.m3u8
CCTV3,http://[2409:8087:7008:20::2]/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226397/1.m3u8
CCTV4,http://[2409:8087:7008:20::2]/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226191/1.m3u8
CCTV4,http://[2409:8087:7008:20::2]/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226223/1.m3u8
CCTV5,http://[2409:8087:7008:20::2]/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226395/1.m3u8
CCTV5+,http://[2409:8087:7008:20::2]/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225761/1.m3u8
CCTV6,http://[2409:8087:7008:20::a]/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226011/1.m3u8
CCTV6,http://[2409:8087:7008:20::2]/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226393/1.m3u8
CCTV7,http://[2409:8087:7008:20::2]/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226192/1.m3u8
CCTV8,http://[2409:8087:7008:20::a]/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226012/1.m3u8
CCTV8,http://[2409:8087:7008:20::2]/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226391/1.m3u8
CCTV9,http://[2409:8087:7008:20::2]/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226197/1.m3u8
CCTV10,http://[2409:8087:7008:20::2]/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226189/1.m3u8
CCTV11,http://[2409:8087:7008:20::2]/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226240/1.m3u8
CCTV12,http://[2409:8087:7008:20::8]/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226190/1.m3u8
CCTV13,http://[2409:8087:7008:20::2]/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226233/1.m3u8
CCTV14,http://[2409:8087:7008:20::4]/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226193/1.m3u8
CCTV15,http://[2409:8087:7008:20::2]/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225785/1.m3u8
CCTV16,http://[2409:8087:7008:20::4]/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226921/1.m3u8
CCTV17,http://[2409:8087:7008:20::2]/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226198/1.m3u8
凤凰中文,http://[2409:8087:7008:20::7]/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226547/1.m3u8
凤凰中文,http://[2409:8087:7008:20::c]/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226547/1.m3u8
凤凰中文,http://[2409:8087:7008:20::d]/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226547/1.m3u8
凤凰中文,http://[2409:8087:7008:20::9]/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226547/1.m3u8
凤凰中文,http://[2409:8087:7008:20::a]/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226547/1.m3u8
凤凰中文,http://[2409:8087:7008:20::8]/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226547/1.m3u8
凤凰中文,http://[2409:8087:7008:20::b]/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226547/1.m3u8
凤凰中文,http://[2409:8087:7008:20::6]/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226547/1.m3u8
凤凰资讯,http://[2409:8087:7008:20::4]/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226546/1.m3u8
凤凰资讯,http://[2409:8087:7008:20::7]/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226546/1.m3u8
凤凰资讯,http://[2409:8087:7008:20::c]/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226546/1.m3u8
凤凰资讯,http://[2409:8087:7008:20::2]/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226546/1.m3u8
凤凰资讯,http://[2409:8087:7008:20::a]/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226546/1.m3u8
凤凰资讯,http://[2409:8087:7008:20::3]/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226546/1.m3u8
凤凰资讯,http://[2409:8087:7008:20::6]/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226546/1.m3u8
凤凰资讯,http://[2409:8087:7008:20::b]/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226546/1.m3u8
凤凰资讯,http://[2409:8087:7008:20::d]/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226546/1.m3u8
凤凰资讯,http://[2409:8087:7008:20::5]/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226546/1.m3u8
重庆卫视,http://[2409:8087:7008:20::2]/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226202/1.m3u8
东方卫视,http://[2409:8087:7008:20::8]/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225797/1.m3u8
东方卫视,http://[2409:8087:7008:20::6]/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226217/1.m3u8
东方卫视,http://[2409:8087:7008:20::a]/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226230/1.m3u8
湖南卫视,http://[2409:8087:7008:20::2]/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225799/1.m3u8
湖南卫视,http://[2409:8087:7008:20::8]/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226211/1.m3u8
广东卫视,http://[2409:8087:7008:20::6]/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225803/1.m3u8
广东卫视,http://[2409:8087:7008:20::8]/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226216/1.m3u8
深圳卫视,http://[2409:8087:7008:20::2]/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225801/1.m3u8
深圳卫视,http://[2409:8087:7008:20::8]/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226205/1.m3u8
湖北卫视,http://[2409:8087:7008:20::4]/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226194/1.m3u8
湖北卫视,http://[2409:8087:7008:20::a]/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226206/1.m3u8
安徽卫视,http://[2409:8087:7008:20::8]/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226196/1.m3u8
安徽卫视,http://[2409:8087:7008:20::8]/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226203/1.m3u8
浙江卫视,http://[2409:8087:7008:20::8]/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225798/1.m3u8
浙江卫视,http://[2409:8087:7008:20::8]/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226199/1.m3u8
山东卫视,http://[2409:8087:7008:20::2]/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226209/1.m3u8
北京卫视,http://[2409:8087:7008:20::4]/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225796/1.m3u8
北京卫视,http://[2409:8087:7008:20::8]/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226222/1.m3u8
江苏卫视,http://[2409:8087:7008:20::2]/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225800/1.m3u8
江苏卫视,http://[2409:8087:7008:20::8]/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226200/1.m3u8
黑龙江卫视,http://[2409:8087:7008:20::6]/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225802/1.m3u8
黑龙江卫视,http://[2409:8087:7008:20::2]/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226010/1.m3u8
